P1;P2;P3;P4;P5;P6;P7;S1
2000;6;7;136;8;0;0;H
2003;5;7;232;8;70;2;H
1952;5;6;234;8;35;5;F
1998;5;7;165;8;2;0;H
1998;6;7;123;8;35;0;H
1985;5;5;193;8;0;0;H
1996;5;7;374;8;0;1;H
1995;5;6;372;8;0;0;H
0;6;7;177;1;35;7;H
0;6;7;179;8;35;2;F
0;6;7;374;1;71;4;H
2001;6;7;187;8;71;4;F
2001;6;7;197;8;41;1;H
2002;3;3;173;8;5;0;H
2002;6;7;205;8;70;9;F
2001;6;7;179;8;47;95;H
0;2;7;149;8;34;1;H
2018;1;1;260;8;32;11;H
1993;0;0;0;8;0;42;H
2002;6;7;170;8;0;0;H
1994;4;7;198;8;0;0;H
2002;6;4;190;8;0;1;H
2018;6;7;201;8;36;1;H
1975;6;7;254;8;0;0;F
1980;6;7;147;8;35;0;H
1973;5;6;193;8;35;19;F
1993;4;6;178;8;36;0;H
0;3;4;176;1;0;0;H
2018;5;6;300;8;0;2;H
1985;5;7;269;8;0;37;H
0;3;2;144;8;39;163;F
0;0;3;94;8;0;0;F
0;6;7;120;8;0;0;F
1989;6;7;102;8;107;97;H
1992;4;7;140;8;84;14;H
0;5;5;183;8;78;4;H
0;6;7;276;1;0;11;H
1996;6;7;82;8;35;1;H
2000;5;6;130;8;0;9;H
0;5;5;234;8;92;4;H
0;6;4;172;1;71;6;H
0;6;6;170;1;35;3;H
0;6;7;226;8;70;3;F
2002;5;5;83;8;70;4;H
0;6;4;177;8;40;2;F
1992;5;7;189;8;70;5;F
1986;5;7;147;8;0;1;H
0;6;3;372;8;35;5;H
1999;5;7;137;8;118;265;H
0;6;7;178;8;71;3;H
0;6;5;211;1;35;1;H
0;6;7;271;8;37;0;H
1963;6;6;391;8;0;0;F
1978;6;5;239;8;0;12;H
1994;2;5;230;8;0;1;H
0;6;6;189;1;36;1;F
1988;5;6;201;8;0;1;H
1967;4;6;107;8;0;13;H
2000;6;7;174;8;0;6;H
1990;6;7;214;8;0;2;H
1998;6;6;174;8;70;4;H
1994;6;4;111;8;0;5;H
0;3;1;78;8;44;1;H
1998;6;7;167;8;0;0;H
1990;5;5;136;8;0;1;H
1987;0;0;86;8;0;0;F
1969;6;7;138;8;0;0;H
1994;3;3;127;8;0;1;H
2006;2;3;48;8;0;1;H
0;6;6;188;8;0;22;H
2001;6;7;83;8;0;1;H
2002;6;7;261;8;0;1;H
2018;3;0;74;8;0;1;H
2001;3;4;133;8;0;0;H
0;0;1;578;8;5;1;H
0;4;6;265;1;35;543;H
0;6;7;227;8;107;26;F
0;6;6;192;8;0;0;H
0;3;7;99;1;0;0;F
0;5;6;0;1;0;5;H
2000;6;7;170;8;80;3;H
0;6;4;250;8;0;2;H
1961;6;6;19;8;0;1258;H
1985;6;7;95;8;0;6;H
1989;0;2;69;8;0;2;H
2018;2;1;93;8;35;0;H
0;4;5;110;8;0;1;H
2003;6;7;288;8;0;0;H
0;6;7;345;1;0;2;H
0;6;6;148;8;0;1;H
0;6;7;214;1;35;1;F
0;2;2;107;1;35;4;H
0;6;7;75;1;0;13;H
0;1;0;124;8;0;1;H
2018;3;3;165;8;35;1;H
1985;3;0;57;8;0;8;H
1996;4;6;174;8;264;6;F
1985;4;2;140;8;0;2;H
1998;6;7;166;8;0;1;H
0;0;0;204;1;0;1;H
0;6;7;347;8;0;192;H
0;6;7;443;8;0;0;H
0;5;6;178;8;0;1;F
0;6;7;167;1;0;3;H
0;6;7;107;1;0;0;H
0;6;7;132;1;0;2;H
1995;6;6;204;8;0;7;H
0;6;7;206;8;5;7;H
0;6;7;119;8;0;1;H
0;5;4;282;8;0;7;F
0;6;7;184;1;0;3;H
2002;6;5;134;8;0;1;H
0;3;7;349;1;35;1;H
1996;4;5;239;8;0;0;H
1953;5;4;369;8;0;7;H
1986;6;7;154;8;0;8;H
0;6;7;271;1;0;1;F
0;3;5;105;8;35;12;H
1997;6;7;167;8;35;0;H
0;6;7;183;8;0;0;F
0;5;7;162;1;35;2;H
0;5;7;123;8;0;9;H
2002;6;7;165;8;0;0;H
2001;6;7;266;8;35;1;F
2002;3;6;170;8;0;1;H
2003;6;7;153;8;0;1;H
2002;3;1;143;8;36;2;H
1979;6;7;236;8;0;1;F
0;4;4;152;8;0;1;H
1981;5;5;271;8;0;2;F
1988;6;7;270;8;75;4;H
0;6;5;147;8;44;0;F
2018;6;7;441;8;5;8;F
0;4;4;79;1;35;1;H
0;4;5;200;8;0;1296;H
0;4;5;126;1;71;11;H
0;2;5;0;1;259;80;H
2001;2;6;115;8;0;14;H
2005;6;7;150;8;37;1;H
1999;3;7;262;8;0;3;H
2001;6;7;141;8;35;1;H
1993;6;7;184;8;0;1;H
0;5;0;194;1;0;1;H
0;6;6;285;8;0;0;F
2000;0;4;178;8;45;1;H
1991;6;7;231;8;0;2;H
2005;0;2;86;8;0;1;H
0;5;7;162;1;37;1;H
1982;6;7;92;8;0;4;H
2007;5;7;36;8;0;7;H
0;4;6;119;1;0;1;H
1976;5;7;160;8;0;0;H
2018;6;7;194;8;0;38;H
0;3;3;83;8;0;7;H
1997;5;7;332;8;0;5;H
2001;6;7;277;8;0;356;H
2018;5;6;279;8;0;0;F
2002;3;1;118;8;0;1;H
2063;4;4;119;8;11;17;H
2004;0;4;100;8;0;9;H
2002;6;7;259;8;35;3;H
1960;3;7;293;8;70;4;F
0;6;7;145;1;0;0;H
2000;1;2;82;8;0;0;H
1989;4;6;279;8;35;0;H
1972;5;6;112;8;0;32;H
0;6;6;426;8;0;30;H
1963;1;2;80;8;0;14;H
0;1;3;45;1;0;1;H
0;6;7;168;8;0;2;H
0;5;7;323;8;0;0;F
1993;6;7;349;8;35;0;F
0;5;7;50;8;35;2;H
2018;2;4;147;8;0;1;H
1998;4;5;149;8;97;3;H
1996;4;7;166;8;108;97;H
0;6;7;206;1;84;5;H
0;6;7;210;8;73;5;H
1965;3;7;120;8;0;6;H
2018;4;2;228;8;0;1;H
1991;6;7;377;8;0;0;F
0;1;0;0;2;0;2;H
2018;6;6;166;8;81;11;H
1991;6;6;268;8;0;1;H
1992;6;7;91;8;34;0;F
1993;6;7;161;8;7;2;H
0;6;7;137;8;0;10;H
0;6;7;223;8;0;2;F
0;5;5;219;1;35;2;H
2001;6;7;271;8;0;0;H
0;3;1;0;1;0;0;H
0;3;4;131;1;35;0;H
1992;5;6;171;8;43;2;H
1951;3;2;194;8;0;9;F
1958;6;7;344;7;642;3537;F
1987;6;7;258;8;0;3;F
1991;4;5;187;8;35;3;H
1992;5;7;166;8;0;2;H
0;6;7;120;8;0;1;F
1996;6;7;164;8;37;2;H
2003;1;5;170;8;0;9;F
2002;5;5;376;8;0;7;F
1998;2;4;522;8;80;4;H
1996;4;4;139;8;0;1;H
0;3;5;317;1;0;44;H
1988;6;7;195;8;0;1;H
1996;6;7;206;8;0;1;H
1971;3;7;264;8;0;1;F
0;6;6;251;1;35;0;H
0;6;6;222;1;0;0;F
0;6;7;122;8;0;1;H
0;6;4;83;1;12;0;H
1998;6;7;112;8;0;3;H
1993;1;3;0;8;0;396;H
1985;4;7;305;8;0;1;F
0;6;6;200;8;0;10;F
0;5;7;75;1;0;2;H
0;6;7;163;1;44;1;H
1988;0;1;79;8;0;0;H
1984;6;7;205;8;35;4;F
1996;0;0;0;8;0;0;H
